iter	Passed	Remaining
601	11325	7487
602	11346	7470
603	11363	7450
604	11384	7432
605	11401	7412
606	11421	7394
607	11441	7376
608	11462	7359
609	11483	7341
610	11503	7323
611	11519	7303
612	11537	7283
613	11559	7267
614	11578	7248
615	11596	7229
616	11614	7209
617	11634	7191
618	11651	7171
619	11671	7153
620	11691	7135
621	11709	7115
622	11727	7096
623	11747	7078
624	11768	7060
625	11789	7043
626	11809	7025
627	11826	7005
628	11845	6986
629	11862	6966
630	11882	6948
631	11901	6929
632	11920	6911
633	11940	6892
634	11958	6873
635	11977	6854
636	11993	6834
637	12010	6814
638	12028	6795
639	12047	6776
640	12066	6758
641	12088	6740
642	12107	6722
643	12126	6703
644	12145	6684
645	12165	6666
646	12184	6647
647	12203	6628
648	12219	6608
649	12240	6591
650	12257	6571
651	12278	6553
652	12296	6534
653	12314	6514
654	12334	6496
655	12353	6477
656	12373	6459
657	12393	6441
658	12413	6423
659	12432	6404
660	12450	6385
661	12469	6366
662	12487	6347
663	12507	6329
664	12527	6310
665	12547	6292
666	12568	6274
667	12588	6256
668	12609	6238
669	12626	6219
670	12642	6198
671	12660	6179
672	12678	6160
673	12698	6142
674	12715	6122
675	12734	6103
676	12752	6084
677	12772	6065
678	12791	6047
679	12812	6029
680	12833	6011
681	12852	5992
682	12868	5972
683	12887	5953
684	12907	5935
685	12927	5917
686	12948	5899
687	12966	5880
688	12987	5862
689	13008	5844
690	13028	5826
691	13047	5807
692	13067	5788
693	13084	5769
694	13102	5750
695	13119	5730
696	13140	5712
697	13157	5692
698	13176	5673
699	13196	5655
700	13215	5636
701	13235	5618
702	13253	5599
703	13273	5580
704	13294	5562
705	13314	5544
706	13331	5525
707	13349	5505
708	13366	5486
709	13383	5466
710	13404	5448
711	13423	5429
712	13442	5410
713	13458	5390
714	13474	5371
715	13494	5352
716	13512	5333
717	13532	5315
718	13553	5297
719	13571	5277
720	13592	5259
721	13611	5241
722	13632	5222
723	13650	5203
724	13671	5185
725	13691	5167
726	13709	5148
727	13727	5128
728	13743	5109
729	13763	5090
730	13780	5071
731	13797	5051
732	13814	5032
733	13833	5013
734	13852	4994
